tau, A
ms, mV
0.1, 1294
0.2, 1293
0.3, 1275
0.4, 1273
0.5, 1270
0.6, 1270
0.7, 1265
0.8, 1263
0.9, 1258
1.0, 1258
2.0, 1260
4.0, 1213
6.0, 1103
8.0, 925
10.0, 698
10.5, 639
11.0, 571
12.0, 461
13.0, 356
14.0, 257
15.0, 194
16.0, 127
17.0, 93
18.0, 65
19.0, 50
20.0, 46
