Ordnung,delta_s[pixel],d_s[pixel],d_lambda[pm]
1,506+-5,243+-5,6.47+-0.15
2,421+-5,202+-5,6.47+-0.18
3,377+-5,179+-5,6.40+-0.20
4,330+-5,156+-5,6.37+-0.23
5,317+-5,145+-5,6.16+-0.23
6,288+-5,129+-5,6.04+-0.26
7,271+-5,127+-5,6.32+-0.27
8,258+-5,117+-5,6.11+-0.29
9,245+-5,114+-5,6.27+-0.30
10,225+-5,104+-5,6.23+-0.33
11,220+-5,100+-5,6.13+-0.34
